"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"c:\tojiro\programming\AG\MyLogV2\docs\specs\15_Filter.md", "Markdown", 0, 0, 0, 0, 0, 126, 0, 0, 13, 139
"c:\tojiro\programming\AG\MyLogV2\eslint.config.mjs", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 31, 15, 92
"c:\tojiro\programming\AG\MyLogV2\next.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\tojiro\programming\AG\MyLogV2\package-lock.json", "JSON", 0, 12126, 0, 0, 0, 0, 0, 0, 1, 12127
"c:\tojiro\programming\AG\MyLogV2\package.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 1, 54
"c:\tojiro\programming\AG\MyLogV2\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\tojiro\programming\AG\MyLogV2\public\manifest.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 23
"c:\tojiro\programming\AG\MyLogV2\test\setup.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 5, 6, 58
"c:\tojiro\programming\AG\MyLogV2\tsconfig.json", "JSON with Comments", 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"c:\tojiro\programming\AG\MyLogV2\vitest.config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"Total", "-", 2002, 12224, 52, 34, 3893, 1273, 9, 672, 1410, 21569
